source,target,relation
article_1,article_1_para_1,contains
article_1_para_1,article_1,part_of
article_1,article_1_para_2,contains
article_1_para_2,article_1,part_of
article_2,article_2_para_1,contains
article_2_para_1,article_2,part_of
article_2,article_2_para_2,contains
article_2_para_2,article_2,part_of
article_2,article_2_para_3,contains
article_2_para_3,article_2,part_of
article_2,article_2_para_4,contains
article_2_para_4,article_2,part_of
article_2,article_2_para_5,contains
article_2_para_5,article_2,part_of
article_2,article_2_para_6,contains
article_2_para_6,article_2,part_of
article_2,article_2_para_7,contains
article_2_para_7,article_2,part_of
article_2,article_2_para_8,contains
article_2_para_8,article_2,part_of
article_2,article_2_para_9,contains
article_2_para_9,article_2,part_of
article_2,article_2_para_10,contains
article_2_para_10,article_2,part_of
article_2,article_2_para_11,contains
article_2_para_11,article_2,part_of
article_2,article_2_para_12,contains
article_2_para_12,article_2,part_of
article_5,article_5_para_1,contains
article_5_para_1,article_5,part_of
article_5,article_5_para_2,contains
article_5_para_2,article_5,part_of
article_5,article_5_para_3,contains
article_5_para_3,article_5,part_of
article_5,article_5_para_4,contains
article_5_para_4,article_5,part_of
article_5,article_5_para_5,contains
article_5_para_5,article_5,part_of
article_5,article_5_para_6,contains
article_5_para_6,article_5,part_of
article_5,article_5_para_7,contains
article_5_para_7,article_5,part_of
article_5,article_5_para_8,contains
article_5_para_8,article_5,part_of
article_6,article_6_para_1,contains
article_6_para_1,article_6,part_of
article_6,article_6_para_2,contains
article_6_para_2,article_6,part_of
article_6,article_6_para_3,contains
article_6_para_3,article_6,part_of
article_6,article_6_para_4,contains
article_6_para_4,article_6,part_of
article_6,article_6_para_5,contains
article_6_para_5,article_6,part_of
article_6,article_6_para_6,contains
article_6_para_6,article_6,part_of
article_6,article_6_para_7,contains
article_6_para_7,article_6,part_of
article_6,article_6_para_8,contains
article_6_para_8,article_6,part_of
article_7,article_7_para_1,contains
article_7_para_1,article_7,part_of
article_7,article_7_para_2,contains
article_7_para_2,article_7,part_of
article_7,article_7_para_3,contains
article_7_para_3,article_7,part_of
article_8,article_8_para_1,contains
article_8_para_1,article_8,part_of
article_8,article_8_para_2,contains
article_8_para_2,article_8,part_of
article_9,article_9_para_1,contains
article_9_para_1,article_9,part_of
article_9,article_9_para_2,contains
article_9_para_2,article_9,part_of
article_9,article_9_para_3,contains
article_9_para_3,article_9,part_of
article_9,article_9_para_4,contains
article_9_para_4,article_9,part_of
article_9,article_9_para_5,contains
article_9_para_5,article_9,part_of
article_9,article_9_para_6,contains
article_9_para_6,article_9,part_of
article_9,article_9_para_7,contains
article_9_para_7,article_9,part_of
article_9,article_9_para_8,contains
article_9_para_8,article_9,part_of
article_9,article_9_para_9,contains
article_9_para_9,article_9,part_of
article_9,article_9_para_10,contains
article_9_para_10,article_9,part_of
article_10,article_10_para_1,contains
article_10_para_1,article_10,part_of
article_10,article_10_para_2,contains
article_10_para_2,article_10,part_of
article_10,article_10_para_3,contains
article_10_para_3,article_10,part_of
article_10,article_10_para_4,contains
article_10_para_4,article_10,part_of
article_10,article_10_para_5,contains
article_10_para_5,article_10,part_of
article_10,article_10_para_6,contains
article_10_para_6,article_10,part_of
article_11,article_11_para_1,contains
article_11_para_1,article_11,part_of
article_11,article_11_para_2,contains
article_11_para_2,article_11,part_of
article_11,article_11_para_3,contains
article_11_para_3,article_11,part_of
article_12,article_12_para_1,contains
article_12_para_1,article_12,part_of
article_12,article_12_para_2,contains
article_12_para_2,article_12,part_of
article_12,article_12_para_3,contains
article_12_para_3,article_12,part_of
article_13,article_13_para_1,contains
article_13_para_1,article_13,part_of
article_13,article_13_para_2,contains
article_13_para_2,article_13,part_of
article_13,article_13_para_3,contains
article_13_para_3,article_13,part_of
article_14,article_14_para_1,contains
article_14_para_1,article_14,part_of
article_14,article_14_para_2,contains
article_14_para_2,article_14,part_of
article_14,article_14_para_3,contains
article_14_para_3,article_14,part_of
article_14,article_14_para_4,contains
article_14_para_4,article_14,part_of
article_14,article_14_para_5,contains
article_14_para_5,article_14,part_of
article_15,article_15_para_1,contains
article_15_para_1,article_15,part_of
article_15,article_15_para_2,contains
article_15_para_2,article_15,part_of
article_15,article_15_para_3,contains
article_15_para_3,article_15,part_of
article_15,article_15_para_4,contains
article_15_para_4,article_15,part_of
article_15,article_15_para_5,contains
article_15_para_5,article_15,part_of
article_17,article_17_para_1,contains
article_17_para_1,article_17,part_of
article_17,article_17_para_2,contains
article_17_para_2,article_17,part_of
article_17,article_17_para_3,contains
article_17_para_3,article_17,part_of
article_17,article_17_para_4,contains
article_17_para_4,article_17,part_of
article_18,article_18_para_1,contains
article_18_para_1,article_18,part_of
article_18,article_18_para_2,contains
article_18_para_2,article_18,part_of
article_18,article_18_para_3,contains
article_18_para_3,article_18,part_of
article_19,article_19_para_1,contains
article_19_para_1,article_19,part_of
article_19,article_19_para_2,contains
article_19_para_2,article_19,part_of
article_20,article_20_para_1,contains
article_20_para_1,article_20,part_of
article_20,article_20_para_2,contains
article_20_para_2,article_20,part_of
article_21,article_21_para_1,contains
article_21_para_1,article_21,part_of
article_21,article_21_para_2,contains
article_21_para_2,article_21,part_of
article_21,article_21_para_3,contains
article_21_para_3,article_21,part_of
article_22,article_22_para_1,contains
article_22_para_1,article_22,part_of
article_22,article_22_para_2,contains
article_22_para_2,article_22,part_of
article_22,article_22_para_3,contains
article_22_para_3,article_22,part_of
article_22,article_22_para_4,contains
article_22_para_4,article_22,part_of
article_23,article_23_para_1,contains
article_23_para_1,article_23,part_of
article_23,article_23_para_2,contains
article_23_para_2,article_23,part_of
article_23,article_23_para_3,contains
article_23_para_3,article_23,part_of
article_23,article_23_para_4,contains
article_23_para_4,article_23,part_of
article_23,article_23_para_5,contains
article_23_para_5,article_23,part_of
article_23,article_23_para_6,contains
article_23_para_6,article_23,part_of
article_23,article_23_para_7,contains
article_23_para_7,article_23,part_of
article_24,article_24_para_1,contains
article_24_para_1,article_24,part_of
article_24,article_24_para_2,contains
article_24_para_2,article_24,part_of
article_24,article_24_para_3,contains
article_24_para_3,article_24,part_of
article_24,article_24_para_4,contains
article_24_para_4,article_24,part_of
article_24,article_24_para_5,contains
article_24_para_5,article_24,part_of
article_24,article_24_para_6,contains
article_24_para_6,article_24,part_of
article_25,article_25_para_1,contains
article_25_para_1,article_25,part_of
article_25,article_25_para_2,contains
article_25_para_2,article_25,part_of
article_25,article_25_para_3,contains
article_25_para_3,article_25,part_of
article_25,article_25_para_4,contains
article_25_para_4,article_25,part_of
article_25,article_25_para_5,contains
article_25_para_5,article_25,part_of
article_26,article_26_para_1,contains
article_26_para_1,article_26,part_of
article_26,article_26_para_2,contains
article_26_para_2,article_26,part_of
article_26,article_26_para_3,contains
article_26_para_3,article_26,part_of
article_26,article_26_para_4,contains
article_26_para_4,article_26,part_of
article_26,article_26_para_5,contains
article_26_para_5,article_26,part_of
article_26,article_26_para_6,contains
article_26_para_6,article_26,part_of
article_26,article_26_para_7,contains
article_26_para_7,article_26,part_of
article_26,article_26_para_8,contains
article_26_para_8,article_26,part_of
article_26,article_26_para_9,contains
article_26_para_9,article_26,part_of
article_26,article_26_para_10,contains
article_26_para_10,article_26,part_of
article_26,article_26_para_11,contains
article_26_para_11,article_26,part_of
article_26,article_26_para_12,contains
article_26_para_12,article_26,part_of
article_27,article_27_para_1,contains
article_27_para_1,article_27,part_of
article_27,article_27_para_2,contains
article_27_para_2,article_27,part_of
article_27,article_27_para_3,contains
article_27_para_3,article_27,part_of
article_27,article_27_para_4,contains
article_27_para_4,article_27,part_of
article_27,article_27_para_5,contains
article_27_para_5,article_27,part_of
article_28,article_28_para_1,contains
article_28_para_1,article_28,part_of
article_28,article_28_para_2,contains
article_28_para_2,article_28,part_of
article_28,article_28_para_3,contains
article_28_para_3,article_28,part_of
article_28,article_28_para_4,contains
article_28_para_4,article_28,part_of
article_28,article_28_para_5,contains
article_28_para_5,article_28,part_of
article_28,article_28_para_6,contains
article_28_para_6,article_28,part_of
article_28,article_28_para_7,contains
article_28_para_7,article_28,part_of
article_29,article_29_para_1,contains
article_29_para_1,article_29,part_of
article_29,article_29_para_2,contains
article_29_para_2,article_29,part_of
article_29,article_29_para_3,contains
article_29_para_3,article_29,part_of
article_29,article_29_para_4,contains
article_29_para_4,article_29,part_of
article_30,article_30_para_1,contains
article_30_para_1,article_30,part_of
article_30,article_30_para_2,contains
article_30_para_2,article_30,part_of
article_30,article_30_para_3,contains
article_30_para_3,article_30,part_of
article_30,article_30_para_4,contains
article_30_para_4,article_30,part_of
article_30,article_30_para_5,contains
article_30_para_5,article_30,part_of
article_31,article_31_para_1,contains
article_31_para_1,article_31,part_of
article_31,article_31_para_2,contains
article_31_para_2,article_31,part_of
article_31,article_31_para_3,contains
article_31_para_3,article_31,part_of
article_31,article_31_para_4,contains
article_31_para_4,article_31,part_of
article_31,article_31_para_5,contains
article_31_para_5,article_31,part_of
article_31,article_31_para_6,contains
article_31_para_6,article_31,part_of
article_31,article_31_para_7,contains
article_31_para_7,article_31,part_of
article_31,article_31_para_8,contains
article_31_para_8,article_31,part_of
article_31,article_31_para_9,contains
article_31_para_9,article_31,part_of
article_31,article_31_para_10,contains
article_31_para_10,article_31,part_of
article_31,article_31_para_11,contains
article_31_para_11,article_31,part_of
article_31,article_31_para_12,contains
article_31_para_12,article_31,part_of
article_33,article_33_para_1,contains
article_33_para_1,article_33,part_of
article_33,article_33_para_2,contains
article_33_para_2,article_33,part_of
article_33,article_33_para_3,contains
article_33_para_3,article_33,part_of
article_33,article_33_para_4,contains
article_33_para_4,article_33,part_of
article_34,article_34_para_1,contains
article_34_para_1,article_34,part_of
article_34,article_34_para_2,contains
article_34_para_2,article_34,part_of
article_34,article_34_para_3,contains
article_34_para_3,article_34,part_of
article_35,article_35_para_1,contains
article_35_para_1,article_35,part_of
article_35,article_35_para_2,contains
article_35_para_2,article_35,part_of
article_36,article_36_para_1,contains
article_36_para_1,article_36,part_of
article_36,article_36_para_2,contains
article_36_para_2,article_36,part_of
article_36,article_36_para_3,contains
article_36_para_3,article_36,part_of
article_36,article_36_para_4,contains
article_36_para_4,article_36,part_of
article_36,article_36_para_5,contains
article_36_para_5,article_36,part_of
article_36,article_36_para_6,contains
article_36_para_6,article_36,part_of
article_36,article_36_para_7,contains
article_36_para_7,article_36,part_of
article_36,article_36_para_8,contains
article_36_para_8,article_36,part_of
article_36,article_36_para_9,contains
article_36_para_9,article_36,part_of
article_37,article_37_para_1,contains
article_37_para_1,article_37,part_of
article_37,article_37_para_2,contains
article_37_para_2,article_37,part_of
article_37,article_37_para_3,contains
article_37_para_3,article_37,part_of
article_37,article_37_para_4,contains
article_37_para_4,article_37,part_of
article_38,article_38_para_1,contains
article_38_para_1,article_38,part_of
article_38,article_38_para_2,contains
article_38_para_2,article_38,part_of
article_38,article_38_para_3,contains
article_38_para_3,article_38,part_of
article_40,article_40_para_1,contains
article_40_para_1,article_40,part_of
article_40,article_40_para_2,contains
article_40_para_2,article_40,part_of
article_40,article_40_para_3,contains
article_40_para_3,article_40,part_of
article_41,article_41_para_1,contains
article_41_para_1,article_41,part_of
article_41,article_41_para_2,contains
article_41_para_2,article_41,part_of
article_41,article_41_para_3,contains
article_41_para_3,article_41,part_of
article_41,article_41_para_4,contains
article_41_para_4,article_41,part_of
article_41,article_41_para_5,contains
article_41_para_5,article_41,part_of
article_41,article_41_para_6,contains
article_41_para_6,article_41,part_of
article_42,article_42_para_1,contains
article_42_para_1,article_42,part_of
article_42,article_42_para_2,contains
article_42_para_2,article_42,part_of
article_43,article_43_para_1,contains
article_43_para_1,article_43,part_of
article_43,article_43_para_2,contains
article_43_para_2,article_43,part_of
article_43,article_43_para_3,contains
article_43_para_3,article_43,part_of
article_43,article_43_para_4,contains
article_43_para_4,article_43,part_of
article_43,article_43_para_5,contains
article_43_para_5,article_43,part_of
article_43,article_43_para_6,contains
article_43_para_6,article_43,part_of
article_44,article_44_para_1,contains
article_44_para_1,article_44,part_of
article_44,article_44_para_2,contains
article_44_para_2,article_44,part_of
article_44,article_44_para_3,contains
article_44_para_3,article_44,part_of
article_45,article_45_para_1,contains
article_45_para_1,article_45,part_of
article_45,article_45_para_2,contains
article_45_para_2,article_45,part_of
article_45,article_45_para_3,contains
article_45_para_3,article_45,part_of
article_45,article_45_para_4,contains
article_45_para_4,article_45,part_of
article_46,article_46_para_1,contains
article_46_para_1,article_46,part_of
article_46,article_46_para_2,contains
article_46_para_2,article_46,part_of
article_46,article_46_para_3,contains
article_46_para_3,article_46,part_of
article_46,article_46_para_4,contains
article_46_para_4,article_46,part_of
article_46,article_46_para_5,contains
article_46_para_5,article_46,part_of
article_46,article_46_para_6,contains
article_46_para_6,article_46,part_of
article_46,article_46_para_7,contains
article_46_para_7,article_46,part_of
article_47,article_47_para_1,contains
article_47_para_1,article_47,part_of
article_47,article_47_para_2,contains
article_47_para_2,article_47,part_of
article_47,article_47_para_3,contains
article_47_para_3,article_47,part_of
article_47,article_47_para_4,contains
article_47_para_4,article_47,part_of
article_47,article_47_para_5,contains
article_47_para_5,article_47,part_of
article_48,article_48_para_1,contains
article_48_para_1,article_48,part_of
article_48,article_48_para_2,contains
article_48_para_2,article_48,part_of
article_48,article_48_para_3,contains
article_48_para_3,article_48,part_of
article_48,article_48_para_4,contains
article_48_para_4,article_48,part_of
article_48,article_48_para_5,contains
article_48_para_5,article_48,part_of
article_49,article_49_para_1,contains
article_49_para_1,article_49,part_of
article_49,article_49_para_2,contains
article_49_para_2,article_49,part_of
article_49,article_49_para_3,contains
article_49_para_3,article_49,part_of
article_49,article_49_para_4,contains
article_49_para_4,article_49,part_of
article_49,article_49_para_5,contains
article_49_para_5,article_49,part_of
article_50,article_50_para_1,contains
article_50_para_1,article_50,part_of
article_50,article_50_para_2,contains
article_50_para_2,article_50,part_of
article_50,article_50_para_3,contains
article_50_para_3,article_50,part_of
article_50,article_50_para_4,contains
article_50_para_4,article_50,part_of
article_50,article_50_para_5,contains
article_50_para_5,article_50,part_of
article_50,article_50_para_6,contains
article_50_para_6,article_50,part_of
article_50,article_50_para_7,contains
article_50_para_7,article_50,part_of
article_51,article_51_para_1,contains
article_51_para_1,article_51,part_of
article_51,article_51_para_2,contains
article_51_para_2,article_51,part_of
article_51,article_51_para_1025,contains
article_51_para_1025,article_51,part_of
article_52,article_52_para_1,contains
article_52_para_1,article_52,part_of
article_52,article_52_para_2,contains
article_52_para_2,article_52,part_of
article_52,article_52_para_3,contains
article_52_para_3,article_52,part_of
article_52,article_52_para_4,contains
article_52_para_4,article_52,part_of
article_52,article_52_para_5,contains
article_52_para_5,article_52,part_of
article_52,article_52_para_6,contains
article_52_para_6,article_52,part_of
article_53,article_53_para_1,contains
